,R,L,cost
356,0.17,0.74,211256.74095241175
357,0.17,0.76,216021.64918608445
358,0.17,0.78,220798.0431972087
359,0.17,0.8,225637.43378788975
360,0.18,0.2,174866.76199621893
361,0.18,0.22,174861.12446670837
362,0.18,0.24,174855.48762118295
363,0.18,0.26,174929.78685008796
364,0.18,0.28,175113.34089268348
365,0.18,0.3,175354.02711820212
366,0.18,0.32,175636.39942362194
367,0.18,0.34,175952.20175226958
368,0.18,0.37,176565.9647954062
369,0.18,0.39,177058.6474148203
370,0.18,0.41,177614.09135062274
371,0.18,0.43,178235.34457868984
372,0.18,0.45,178918.8890549728
373,0.18,0.47,179660.3156649575
374,0.18,0.49,180455.41951927703
375,0.18,0.51,181297.86275975552
376,0.18,0.53,182182.6539681877
377,0.18,0.55,183113.27683321477
378,0.18,0.57,184121.922848987
379,0.18,0.59,185199.2502798721
380,0.18,0.61,186391.07425677267
381,0.18,0.63,187988.34597229288
382,0.18,0.66,191484.33992770847
383,0.18,0.68,194660.28299095677
384,0.18,0.7,198396.01172020612
385,0.18,0.72,202492.88859736826
386,0.18,0.74,206775.13389527833
387,0.18,0.76,211158.72720879212
388,0.18,0.78,215627.26406377708
389,0.18,0.8,220214.16616008393
390,0.19,0.2,175283.59642288697
391,0.19,0.22,175277.9579457429
392,0.19,0.24,175272.32014698038
393,0.19,0.26,175268.67298811112
394,0.19,0.28,175386.0968200197
395,0.19,0.3,175586.56521744488
396,0.19,0.32,175838.3059650838
397,0.19,0.34,176128.8183956298
398,0.19,0.37,176643.43864451756
399,0.19,0.39,177088.4423203734
400,0.19,0.41,177588.10644131296
401,0.19,0.43,178153.27185943033
402,0.19,0.45,178780.7388326013
403,0.19,0.47,179468.90411909626
404,0.19,0.49,180212.70715733815
405,0.19,0.51,181006.49716867603
406,0.19,0.53,181843.97477874762
407,0.19,0.55,182740.59945683295
408,0.19,0.57,183713.37441625458
409,0.19,0.59,184750.81096198928
410,0.19,0.61,185857.40290828585
411,0.19,0.63,187111.18214996211
412,0.19,0.66,189872.10390622044
413,0.19,0.68,192328.82545619577
414,0.19,0.7,195481.74915105768
415,0.19,0.72,199080.61287486675
416,0.19,0.74,202928.18445250313
417,0.19,0.76,206941.34618429956
418,0.19,0.78,211097.78390679823
419,0.19,0.8,215415.61307449744
420,0.2,0.2,175700.4392098929
421,0.2,0.22,175694.79981099308
422,0.2,0.24,175689.16108580455
423,0.2,0.26,175683.52302766018
424,0.2,0.28,175700.9575399413
425,0.2,0.3,175846.88643011393
426,0.2,0.32,176061.80108314005
427,0.2,0.34,176323.46062796775
428,0.2,0.37,176781.89073038686
429,0.2,0.39,177155.76819570662
430,0.2,0.41,177610.68251656677
431,0.2,0.43,178117.02694190174
432,0.2,0.45,178691.81307230092
433,0.2,0.47,179325.27377850973
434,0.2,0.49,180017.3721812422
435,0.2,0.51,180762.11173813033
436,0.2,0.53,181553.66503901468
437,0.2,0.55,182421.64903378388
438,0.2,0.57,183358.5217248128
439,0.2,0.59,184357.01054613452
440,0.2,0.61,185419.2993419784
441,0.2,0.63,186550.60798399666
442,0.2,0.66,188661.2034349169
443,0.2,0.68,190686.78498375765
444,0.2,0.7,193146.0338712533
445,0.2,0.72,196231.19111525966
446,0.2,0.74,199650.80365316305
447,0.2,0.76,203298.45103013283
448,0.2,0.78,207139.05971442675
449,0.2,0.8,211176.5820466166
450,0.2,0.2,175700.4392098929
451,0.2,0.22,175694.79981099308
452,0.2,0.24,175689.16108580455
453,0.2,0.26,175683.52302766018
454,0.2,0.28,175700.9575399413
455,0.2,0.3,175846.88643011393
456,0.2,0.32,176061.80108314005
457,0.2,0.34,176323.46062796775
458,0.2,0.37,176781.89073038686
459,0.2,0.39,177155.76819570662
460,0.2,0.41,177610.68251656677
461,0.2,0.43,178117.02694190174
462,0.2,0.45,178691.81307230092
463,0.2,0.47,179325.27377850973
464,0.2,0.49,180017.3721812422
465,0.2,0.51,180762.11173813033
466,0.2,0.53,181553.66503901468
467,0.2,0.55,182421.64903378388
468,0.2,0.57,183358.5217248128
469,0.2,0.59,184357.01054613452
470,0.2,0.61,185419.2993419784
471,0.2,0.63,186550.60798399666
472,0.2,0.66,188661.2034349169
473,0.2,0.68,190686.78498375765
474,0.2,0.7,193146.0338712533
475,0.2,0.72,196231.19111525966
476,0.2,0.74,199650.80365316305
477,0.2,0.76,203298.45103013283
478,0.2,0.78,207139.05971442675
479,0.2,0.8,211176.5820466166
480,0.21,0.2,176117.29026172054
481,0.21,0.22,176111.64996741628
482,0.21,0.24,176106.0103424604
483,0.21,0.26,176100.3713835849
484,0.21,0.28,176094.73310535037
485,0.21,0.3,176143.8037910216
486,0.21,0.32,176311.15158086858
487,0.21,0.34,176538.6684906868
488,0.21,0.37,176957.80996328604
489,0.21,0.39,177277.355442087
490,0.21,0.41,177668.92791905088
491,0.21,0.43,178132.7015395365
492,0.21,0.45,178647.192792377
493,0.21,0.47,179229.70375362688
494,0.21,0.49,179868.69457798664
495,0.21,0.51,180563.60726382886
496,0.21,0.53,181316.2132684325
497,0.21,0.55,182152.22819486787
498,0.21,0.57,183053.30363578317
499,0.21,0.59,184013.76022614646
500,0.21,0.61,185033.81709573718
501,0.21,0.63,186115.8643858748
502,0.21,0.66,187895.80182117547
503,0.21,0.68,189446.0211720035
504,0.21,0.7,191464.1907129776
505,0.21,0.72,193918.21339808966
506,0.21,0.74,196894.50622596208
507,0.21,0.76,200173.4509037336
508,0.21,0.78,203693.13868016913
509,0.21,0.8,207441.8404307554
510,0.22,0.2,176534.149481985
511,0.22,0.22,176528.50831907842
512,0.22,0.24,176522.86782116495
513,0.22,0.26,176517.2279865225
514,0.22,0.28,176511.58882361665
515,0.22,0.3,176505.95034267716
516,0.22,0.32,176593.29180718263
517,0.22,0.34,176778.19514015852
518,0.22,0.37,177151.85520440715
519,0.22,0.39,177447.52436865683
520,0.22,0.41,177773.54337790955
521,0.22,0.43,178182.62715320277
522,0.22,0.45,178654.56167370177
523,0.22,0.47,179177.6871228105
524,0.22,0.49,179766.68018208464
525,0.22,0.51,180410.55874615835
526,0.22,0.53,181128.30009559199
527,0.22,0.55,181929.18000931517
528,0.22,0.57,182794.45430001017
529,0.22,0.59,183717.72885807673
530,0.22,0.61,184697.3818245905
531,0.22,0.63,185733.8432045318
532,0.22,0.66,187390.54368408665
533,0.22,0.68,188627.4810349309
534,0.22,0.7,190212.8156307174
535,0.22,0.72,192196.81766245072
536,0.22,0.74,194630.95198682646
537,0.22,0.76,197523.68923632643
538,0.22,0.78,200713.2499902466
539,0.22,0.8,204165.91334236102
540,0.23,0.2,176951.01677340982
541,0.23,0.22,176945.3747691477
542,0.23,0.24,176939.73342540875
543,0.23,0.26,176934.09274107084
544,0.23,0.28,176928.45272027084
545,0.23,0.3,176922.81336043228
546,0.23,0.32,176923.87499586534
547,0.23,0.34,177047.6731816747
548,0.23,0.37,177366.68100833448
549,0.23,0.39,177635.2553919055
550,0.23,0.41,177937.48892481375
551,0.23,0.43,178274.52005905367
552,0.23,0.45,178696.9319023015
553,0.23,0.47,179176.17974136546
554,0.23,0.49,179708.18632979432
555,0.23,0.51,180303.47580721177
556,0.23,0.53,180987.76662075002
557,0.23,0.55,181750.67168461214
558,0.23,0.57,182579.4890571173
559,0.23,0.59,183465.93161419392
560,0.23,0.61,184406.53261147553
561,0.23,0.63,185400.06282256774
562,0.23,0.66,186982.95065849577
563,0.23,0.68,188091.66758724125
564,0.23,0.7,189343.75587183278
565,0.23,0.72,190952.5385904402
566,0.23,0.74,192879.0029309284
567,0.23,0.76,195321.73618702593
568,0.23,0.78,198163.88281858448
569,0.23,0.8,201310.508552062
570,0.24,0.2,177367.89203782714
571,0.24,0.22,177362.24921990823
572,0.24,0.24,177356.60705788335
573,0.24,0.26,177350.9655508057
574,0.24,0.28,177345.324700154
575,0.24,0.3,177339.6844997287
576,0.24,0.32,177334.04488817437
577,0.24,0.34,177358.0473370156
