,R,L,cost
190,0.13,0.41,101391.37692055783
191,0.13,0.43,101769.11670278151
192,0.13,0.45,102163.29554216428
193,0.13,0.47,102575.92962114514
194,0.13,0.49,103006.87641862921
195,0.13,0.51,103457.58045950896
196,0.13,0.53,103929.85121174992
197,0.13,0.55,104424.24513082462
198,0.13,0.57,104942.86402340718
199,0.13,0.59,105486.83469883274
200,0.13,0.61,106057.16966448764
201,0.13,0.63,106655.876151138
202,0.13,0.66,107607.9258111099
203,0.13,0.68,108280.28143946255
204,0.13,0.7,108983.06735629949
205,0.13,0.72,109720.16353363628
206,0.13,0.74,110489.63443988128
207,0.13,0.76,111294.58265415486
208,0.13,0.78,112142.63417179385
209,0.13,0.8,113043.54730382017
210,0.14,0.2,99021.45800274171
211,0.14,0.22,99209.7432305171
212,0.14,0.24,99424.53790341818
213,0.14,0.26,99662.02588384014
214,0.14,0.28,99920.67153371482
215,0.14,0.3,100197.65573917989
216,0.14,0.32,100491.48819015166
217,0.14,0.34,100802.17182702133
218,0.14,0.37,101298.58494873204
219,0.14,0.39,101649.2117964264
220,0.14,0.41,102016.87799495384
221,0.14,0.43,102400.88613763603
222,0.14,0.45,102801.75675465226
223,0.14,0.47,103221.40487090345
224,0.14,0.49,103659.52127763364
225,0.14,0.51,104117.46366957102
226,0.14,0.53,104596.92862579912
227,0.14,0.55,105098.26940066692
228,0.14,0.57,105623.57163156968
229,0.14,0.59,106173.76306211679
230,0.14,0.61,106749.7625780035
231,0.14,0.63,107353.63050829932
232,0.14,0.66,108311.85573503093
233,0.14,0.68,108987.39217494913
234,0.14,0.7,109692.13917478069
235,0.14,0.72,110428.16594053434
236,0.14,0.74,111197.83967434386
237,0.14,0.76,112002.80051362043
238,0.14,0.78,112846.57720665805
239,0.14,0.8,113737.56512660295
240,0.15,0.2,99652.47029441726
241,0.15,0.22,99832.2573952766
242,0.15,0.24,100041.35721719768
243,0.15,0.26,100275.44264470387
244,0.15,0.28,100532.64412638103
245,0.15,0.3,100809.80542133523
246,0.15,0.32,101105.18564261668
247,0.15,0.34,101418.50869268649
248,0.15,0.37,101920.86406135527
249,0.15,0.39,102276.26647699998
250,0.15,0.41,102649.30849462442
251,0.15,0.43,103039.33292001425
252,0.15,0.45,103446.56482370669
253,0.15,0.47,103872.90795024435
254,0.15,0.49,104317.9514214274
255,0.15,0.51,104782.92649313761
256,0.15,0.53,105269.44988401448
257,0.15,0.55,105777.72482316481
258,0.15,0.57,106309.58829526993
259,0.15,0.59,106866.06333216942
260,0.15,0.61,107447.92830410048
261,0.15,0.63,108056.96935573581
262,0.15,0.66,109022.04520029353
263,0.15,0.68,109701.3870531766
264,0.15,0.7,110409.15612226576
265,0.15,0.72,111146.96626547977
266,0.15,0.74,111915.12539119158
267,0.15,0.76,112719.23863527332
268,0.15,0.78,113560.59725033837
269,0.15,0.8,114444.83163682096
270,0.15,0.2,99652.47029441726
271,0.15,0.22,99832.2573952766
272,0.15,0.24,100041.35721719768
273,0.15,0.26,100275.44264470387
274,0.15,0.28,100532.64412638103
275,0.15,0.3,100809.80542133523
276,0.15,0.32,101105.18564261668
277,0.15,0.34,101418.50869268649
278,0.15,0.37,101920.86406135527
279,0.15,0.39,102276.26647699998
280,0.15,0.41,102649.30849462442
281,0.15,0.43,103039.33292001425
282,0.15,0.45,103446.56482370669
283,0.15,0.47,103872.90795024435
284,0.15,0.49,104317.9514214274
285,0.15,0.51,104782.92649313761
286,0.15,0.53,105269.44988401448
287,0.15,0.55,105777.72482316481
288,0.15,0.57,106309.58829526993
289,0.15,0.59,106866.06333216942
290,0.15,0.61,107447.92830410048
291,0.15,0.63,108056.96935573581
292,0.15,0.66,109022.04520029353
293,0.15,0.68,109701.3870531766
294,0.15,0.7,110409.15612226576
295,0.15,0.72,111146.96626547977
296,0.15,0.74,111915.12539119158
297,0.15,0.76,112719.23863527332
298,0.15,0.78,113560.59725033837
299,0.15,0.8,114444.83163682096
300,0.16,0.2,100296.02034263007
301,0.16,0.22,100466.64304099437
302,0.16,0.24,100669.26896515333
303,0.16,0.26,100899.29121283593
304,0.16,0.28,101154.4274550152
305,0.16,0.3,101431.20830651057
306,0.16,0.32,101727.63571623406
307,0.16,0.34,102043.14358832887
308,0.16,0.37,102550.47275272377
309,0.16,0.39,102910.32317115247
310,0.16,0.41,103288.52838546962
311,0.16,0.43,103684.23689498754
312,0.16,0.45,104097.66059141565
313,0.16,0.47,104530.49217618717
314,0.16,0.49,104982.24335133412
315,0.16,0.51,105454.10064387167
316,0.16,0.53,105947.51390585944
317,0.16,0.55,106462.52620469095
318,0.16,0.57,107001.08403161967
319,0.16,0.59,107563.89069582074
320,0.16,0.61,108151.66537101485
321,0.16,0.63,108766.28264507692
322,0.16,0.66,109738.594567207
323,0.16,0.68,110422.06572623191
324,0.16,0.7,111133.36522709683
325,0.16,0.72,111874.3104775588
326,0.16,0.74,112644.0782293978
327,0.16,0.76,113445.96000872446
328,0.16,0.78,114284.13302879527
329,0.16,0.8,115163.85417600904
330,0.17,0.2,100951.23102060433
331,0.17,0.22,101112.35507599589
332,0.17,0.24,101308.01946831046
333,0.17,0.26,101533.38385850814
334,0.17,0.28,101785.83651724702
335,0.17,0.3,102061.71758218008
336,0.17,0.32,102358.61963397298
337,0.17,0.34,102675.81040962205
338,0.17,0.37,103187.83423959109
339,0.17,0.39,103551.75742891898
340,0.17,0.41,103934.64744767128
341,0.17,0.43,104335.76790156784
342,0.17,0.45,104755.12753054802
343,0.17,0.47,105194.21650185306
344,0.17,0.49,105652.54942260854
345,0.17,0.51,106131.13494429679
346,0.17,0.53,106631.32478377098
347,0.17,0.55,107153.20770230379
348,0.17,0.57,107698.34182170553
349,0.17,0.59,108267.52264653433
350,0.17,0.61,108861.33540912058
351,0.17,0.63,109481.58428018779
352,0.17,0.66,110461.54722832353
353,0.17,0.68,111149.52618322633
354,0.17,0.7,111864.98584224767
355,0.17,0.72,112609.32052746785
356,0.17,0.74,113382.10503446197
357,0.17,0.76,114185.31864313413
358,0.17,0.78,115021.08523670252
359,0.17,0.8,115894.92941467065
360,0.18,0.2,101617.30450068519
361,0.18,0.22,101768.84434746618
362,0.18,0.24,101957.19287659605
363,0.18,0.26,102177.39681556681
364,0.18,0.28,102426.59188339126
365,0.18,0.3,102701.0348584001
366,0.18,0.32,102997.95047099251
367,0.18,0.34,103316.63421819553
368,0.18,0.37,103832.57423845818
369,0.18,0.39,104200.35910362798
370,0.18,0.41,104587.80030843263
371,0.18,0.43,104994.00849494513
372,0.18,0.45,105419.07548866833
373,0.18,0.47,105864.20404979035
374,0.18,0.49,106329.02442308322
375,0.18,0.51,106814.14812125797
376,0.18,0.53,107321.08500148819
377,0.18,0.55,107849.65838774333
378,0.18,0.57,108401.40786998547
379,0.18,0.59,108977.03651175392
380,0.18,0.61,109577.05807297099
381,0.18,0.63,110203.13707142594
382,0.18,0.66,111191.08305907414
383,0.18,0.68,111883.98345644368
384,0.18,0.7,112603.83313793212
385,0.18,0.72,113352.30344813557
386,0.18,0.74,114128.59603051905
387,0.18,0.76,114934.5258883827
388,0.18,0.78,115771.12544182359
389,0.18,0.8,116642.56799804457
390,0.19,0.2,102293.37747249666
391,0.19,0.22,102435.5400409461
392,0.19,0.24,102616.33026946562
393,0.19,0.26,102830.98040304088
394,0.19,0.28,103076.53035582812
395,0.19,0.3,103349.1834734432
396,0.19,0.32,103645.9159719665
397,0.19,0.34,103965.36336306899
398,0.19,0.37,104484.92791759422
399,0.19,0.39,104856.1987416486
400,0.19,0.41,105247.93182217935
401,0.19,0.43,105659.0527383723
402,0.19,0.45,106089.59941602858
403,0.19,0.47,106540.5933391773
404,0.19,0.49,107011.71814591752
405,0.19,0.51,107503.29798102532
406,0.19,0.53,108016.94332877934
407,0.19,0.55,108552.24734454819
408,0.19,0.57,109110.54349121016
409,0.19,0.59,109692.7682415019
410,0.19,0.61,110299.06746286465
411,0.19,0.63,110931.19871975902
412,0.19,0.66,111927.55094712309
413,0.19,0.68,112625.55053950103
414,0.19,0.7,113350.23180225801
415,0.19,0.72,114103.06869646926
416,0.19,0.74,114883.37291612195
417,0.19,0.76,115692.77533885046
418,0.19,0.78,116531.64956767217
419,0.19,0.8,117403.34643074601
420,0.2,0.2,102978.61250847958
421,0.2,0.22,103111.7983701005
422,0.2,0.24,103284.95382886259
423,0.2,0.26,103493.74155543961
424,0.2,0.28,103735.56606419884
425,0.2,0.3,104005.99656979089
426,0.2,0.32,104301.92806428336
427,0.2,0.34,104622.21091431576
428,0.2,0.37,105144.80688255295
429,0.2,0.39,105519.2975304189
430,0.2,0.41,105915.09978741826
431,0.2,0.43,106330.96633837064
432,0.2,0.45,106766.77634007923
433,0.2,0.47,107223.63221019946
434,0.2,0.49,107700.80969424729
435,0.2,0.51,108198.8885730181
436,0.2,0.53,108719.12580342958
437,0.2,0.55,109261.03464568047
438,0.2,0.57,109826.1568289646
439,0.2,0.59,110414.95603744333
440,0.2,0.61,111027.69224765495
441,0.2,0.63,111666.0333117563
442,0.2,0.66,112671.1958963033
443,0.2,0.68,113374.63077263671
444,0.2,0.7,114104.46814075632
445,0.2,0.72,114862.09595412243
446,0.2,0.74,115646.87973531273
447,0.2,0.76,116460.20425757351
448,0.2,0.78,117302.28290913557
449,0.2,0.8,118175.68288151332
450,0.2,0.2,102978.61250847958
451,0.2,0.22,103111.7983701005
452,0.2,0.24,103284.95382886259
453,0.2,0.26,103493.74155543961
454,0.2,0.28,103735.56606419884
455,0.2,0.3,104005.99656979089
456,0.2,0.32,104301.92806428336
457,0.2,0.34,104622.21091431576
458,0.2,0.37,105144.80688255295
459,0.2,0.39,105519.2975304189
460,0.2,0.41,105915.09978741826
461,0.2,0.43,106330.96633837064
462,0.2,0.45,106766.77634007923
463,0.2,0.47,107223.63221019946
464,0.2,0.49,107700.80969424729
465,0.2,0.51,108198.8885730181
466,0.2,0.53,108719.12580342958
467,0.2,0.55,109261.03464568047
468,0.2,0.57,109826.1568289646
469,0.2,0.59,110414.95603744333
470,0.2,0.61,111027.69224765495
471,0.2,0.63,111666.0333117563
472,0.2,0.66,112671.1958963033
473,0.2,0.68,113374.63077263671
474,0.2,0.7,114104.46814075632
475,0.2,0.72,114862.09595412243
476,0.2,0.74,115646.87973531273
477,0.2,0.76,116460.20425757351
478,0.2,0.78,117302.28290913557
479,0.2,0.8,118175.68288151332
480,0.21,0.2,103672.07943372708
481,0.21,0.22,103796.86965377754
482,0.21,0.24,103962.557595186
483,0.21,0.26,104165.6390716807
484,0.21,0.28,104403.17652906403
485,0.21,0.3,104671.15821574215
486,0.21,0.32,104966.24893741602
487,0.21,0.34,105286.78437458137
488,0.21,0.37,105812.1877669876
489,0.21,0.39,106189.6687223677
490,0.21,0.41,106589.33119215604
491,0.21,0.43,107009.81099525359
492,0.21,0.45,107450.67251437283
493,0.21,0.47,107913.27294317992
494,0.21,0.49,108396.58547377857
495,0.21,0.51,108900.97652619825
496,0.21,0.53,109427.75121558219
497,0.21,0.55,109976.51341772606
498,0.21,0.57,110548.34282246562
499,0.21,0.59,111143.82714625592
500,0.21,0.61,111763.14942476776
501,0.21,0.63,112407.90099632046
502,0.21,0.66,113422.24020963706
503,0.21,0.68,114131.50727285957
504,0.21,0.7,114866.81788898271
505,0.21,0.72,115629.58348951211
506,0.21,0.74,116419.27135439281
507,0.21,0.76,117236.98589413645
508,0.21,0.78,118083.04255202858
509,0.21,0.8,118959.15547572401
510,0.22,0.2,104372.91793542771
511,0.22,0.22,104489.9809115007
512,0.22,0.24,104648.60070406433
513,0.22,0.26,104845.88742160842
514,0.22,0.28,105079.25519748357
515,0.22,0.3,105344.55288757106
516,0.22,0.32,105638.49083168001
517,0.22,0.34,105959.13150632125
518,0.22,0.37,106487.03260249105
519,0.22,0.39,106867.35964826406
520,0.22,0.41,107270.65646309998
521,0.22,0.43,107695.628966922
522,0.22,0.45,108141.6468233555
523,0.22,0.47,108609.71182690229
524,0.22,0.49,109099.00287452334
525,0.22,0.51,109609.7735059568
526,0.22,0.53,110143.26615140455
527,0.22,0.55,110698.77949363206
528,0.22,0.57,111277.42249055949
529,0.22,0.59,111879.80637872552
530,0.22,0.61,112505.8805247288
531,0.22,0.63,113157.31096465213
532,0.22,0.66,114181.16543176456
533,0.22,0.68,114896.58223840647
534,0.22,0.7,115637.74431035462
535,0.22,0.72,116406.09665940229
536,0.22,0.74,117201.03214313654
537,0.22,0.76,118023.67232876836
538,0.22,0.78,118874.11688027752
539,0.22,0.8,119753.8649917443
